time,packet_num,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,gesture
3107558,107,-77.08850860595703,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3107677,113,-77.04541015625,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3107717,115,-76.76768493652344,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3107736,116,-76.85387420654297,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3107756,117,-77.10287475585938,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3107776,118,-77.20821380615234,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3107816,120,-76.20744323730469,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3107835,121,-76.2457504272461,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3107855,122,-76.3223648071289,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3107895,124,-76.06378936767578,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3107915,125,-77.1890640258789,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3107934,126,-76.94964599609375,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3107954,127,-77.10765838623047,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3107974,128,-76.0063247680664,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3107994,129,-76.07815551757812,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108013,130,-76.43728637695312,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108033,131,-76.39897918701172,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108053,132,-76.41812896728516,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108073,133,-76.63839721679688,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108112,135,-76.63839721679688,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108132,136,-76.67191314697266,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108152,137,-76.69585418701172,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108172,138,-76.6814956665039,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108192,139,-76.4995346069336,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108231,141,-76.46601104736328,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108251,142,-76.84908294677734,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108271,143,-77.19384765625,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108310,145,-76.89218139648438,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108330,146,-77.09329223632812,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108350,147,-76.23138427734375,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108370,148,-76.94485473632812,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108389,149,-76.71501159667969,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108429,151,-77.02626037597656,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108449,152,-76.77725982666016,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108469,153,-76.83950805664062,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108488,154,-76.14518737792969,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108508,155,-77.02146911621094,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108528,156,-76.01111602783203,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108548,157,-76.78205108642578,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108567,158,-76.01111602783203,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108607,160,-76.70064544677734,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108627,161,-76.86344909667969,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108647,162,-76.01111602783203,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108666,163,-76.70543670654297,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108686,164,-76.41333770751953,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108706,165,-76.45643615722656,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108726,166,-76.15476989746094,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108746,167,-76.15476989746094,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108765,168,-76.04463195800781,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108785,169,-77.1124496459961,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108805,170,-77.22737121582031,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108845,172,-76.38939666748047,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108864,173,-76.73895263671875,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108884,174,-76.02069091796875,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108904,175,-76.05899810791016,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108924,176,-77.04541015625,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108963,178,-76.96400451660156,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3108983,179,-77.18427276611328,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109023,181,-76.10688018798828,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109042,182,-76.69585418701172,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109062,183,-77.09808349609375,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109082,184,-76.81077575683594,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109102,185,-76.60009002685547,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109122,186,-76.16434478759766,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109201,190,-76.3941879272461,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109220,191,-76.81077575683594,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109240,192,-76.89697265625,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109260,193,-77.14596557617188,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109280,194,-76.52347564697266,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109300,195,-76.6431884765625,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109319,196,-76.94485473632812,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109339,197,-76.0063247680664,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109359,198,-76.38461303710938,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109379,199,-76.19786071777344,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109399,200,-76.45164489746094,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109418,201,-76.4995346069336,46.58637619018555,1.7573440074920654,955.1829223632812,999.0853881835938,24.14634132385254,no_gesture
3109438,202,148.46923828125,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3109458,203,148.53627014160156,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3109596,210,149.49395751953125,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3109616,211,148.5745849609375,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3109636,212,148.38783264160156,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3109676,214,149.24017333984375,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,swipe_left
3109695,215,149.23538208007812,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3109715,216,148.81399536132812,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3109755,218,149.14918518066406,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3109774,219,148.73260498046875,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3109854,223,148.70387268066406,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3109873,224,149.53225708007812,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3109953,228,149.43170166015625,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3109972,229,149.48916625976562,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110051,233,149.0965118408203,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110071,234,148.3303680419922,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110111,236,148.81399536132812,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110131,237,148.5841522216797,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110150,238,148.90977478027344,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110170,239,149.0821533203125,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110190,240,148.3303680419922,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110210,241,148.55064392089844,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110230,242,148.46923828125,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110289,245,149.0534210205078,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110309,246,149.22100830078125,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110329,247,149.1108856201172,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110348,248,148.5123291015625,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110368,249,148.4835968017578,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110388,250,148.93849182128906,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110408,251,148.47402954101562,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110427,252,149.29762268066406,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110467,254,149.47958374023438,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110487,255,149.5178985595703,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110546,258,148.52670288085938,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110566,259,149.03427124023438,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110586,260,148.46444702148438,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110606,261,148.9001922607422,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110625,262,149.43649291992188,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110645,263,149.06777954101562,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110685,265,149.07257080078125,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110704,266,148.4405059814453,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
3110724,267,148.9911651611328,88.26464080810547,1.8387469053268433,-1869.5732421875,780.548828125,29.08536720275879,no_gesture
